Date,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】グリーンノートヘナ (競合ASIN),Japan,ENABLED,JPY,"¥10,000.00",Manual targeting,Dynamic bids - down only,4966,,13,,0.26%,¥776.32,,¥59.72,¥0.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】自然葉シャンプー指名KW,Japan,ENABLED,JPY,"¥3,000.00",Manual targeting,Dynamic bids - down only,1651,,16,,0.97%,"¥1,307.62",,¥81.73,¥0.00,3,11.53%,8.67,"¥11,339.00"
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】水素バス (競合ASIN),Japan,ENABLED,JPY,"¥4,500.00",Manual targeting,Dynamic bids - down only,4653,,10,,0.22%,¥692.29,,¥69.23,¥0.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】自然派シャンプー(競合ASIN),Japan,ENABLED,JPY,"¥2,000.00",Manual targeting,Dynamic bids - down only,817,,3,,0.37%,¥193.40,,¥64.47,¥0.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】ビーバンジョア（指名KW）,Japan,ENABLED,JPY,"¥2,500.00",Manual targeting,Dynamic bids - down only,380,457,2,0,0.53%,¥203.20,¥0.00,¥101.60,¥0.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】全商品AT,Japan,ENABLED,JPY,"¥5,000.00",Automatic targeting,Dynamic bids - down only,42518,,201,,0.47%,"¥2,735.25",,¥13.61,¥0.00,2,29.73%,3.36,"¥9,200.00"
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】ソネット（指名KW）,Japan,ENABLED,JPY,"¥1,000.00",Manual targeting,Dynamic bids - down only,3512,313,8,2,0.23%,¥272.74,¥78.16,¥34.09,¥39.08,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】芦屋美整体（指名KW）ver2,Japan,ENABLED,JPY,"¥7,000.00",Manual targeting,Dynamic bids - down only,3673,2602,11,12,0.30%,¥588.33,¥756.00,¥53.48,¥63.00,3,3.47%,28.8,"¥16,946.00"
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】マリコール（AT）,Japan,ENABLED,JPY,"¥2,000.00",Automatic targeting,Dynamic bids - down only,6719,201,6,0,0.09%,¥488.10,¥0.00,¥81.35,¥0.00,0,0.00%,0,¥0.00
"Jan 03, 2025",【GMO】,Sponsored Products,【GMO】芦屋美整体（AT）ver2,Japan,ENABLED,JPY,"¥3,000.00",Automatic targeting,Dynamic bids - down only,1114,5351,2,12,0.18%,¥77.80,¥353.50,¥38.90,¥29.46,0,0.00%,0,¥0.00
